Screen ,Event Name ,Description ,
,clicked_homepage_banner_$type,User clicks on a banner displayed on the home page (the banner type varies).,
,home_page_load_error,Home page fails to load due to an error.,
,clicked_nav_drawer_menu,User opens the navigation drawer menu.,
,,,
traning videos,viewed_training_videos_page,,
,viewed_t&c_page,,
,,,
Recharge Page,clicked_recharge_page_my_subscription,User opens the My Subscription section from the Recharge page.,
,viewed_recharge_page,User opens the Recharge page,
,clicked_recharge_page_pay_now_all_btn,User clicks the button to pay for all pending recharges at once.,
,clicked_recharge_page_recaharge_history_btn,User opens the Recharge History section.,
,clicked_recharge_page_pay_now_btn,User clicks the Pay Now button to make a recharge payment.,
,,,
,viewed_dashboard_page,,
,dashboard_page_pay_btn,,
,clicked_dashboard_online_booking_call_conductor_btn,,
,dashboard_online_booking_detail_clicked_dashboard_card,,
,dashboard_online_booking_detail_clicked_btn,,
,dashboard_clicked_gps_vistar_se_dekhe_bus_card,,
,,,
,,,
support components,contact_us_failed,Contact Us action fails due to an error.,
,clicked_view_route_page_contact_us_btn,User clicks the Contact Us button on the View Route page.,
,clicked_view_route_page_feedback,User opens the feedback option on the View Route page.,
,chat_now_failed,Chat support fails to open or connect.,
,mail_now_failed,Email support action fails due to an error.,
,,,
offer discount page,clicked_offer_discount_edit,User clicks the edit option for an existing offer or discount.,
,clicked_offer_discount_chat_us,User clicks Chat Us for help related to offers or discounts.,
,viewed_offer_discount_page,User opens the Offer & Discount page.,
,clicked_offer_discount_delete_confirm,User confirms the intention to delete an offer or discount.,
,clicked_offer_discount_delete_confirm_btn,User clicks the delete button for an offer or discount.,
,clicked_offer_discount_delete_Back,User clicks the back button on the delete confirmation screen.,
,clicked_offer_discount_delete_btn,User clicks the final confirmation button to delete an offer or discount.,
,clicked_offer_discount_ladies_discount,User selects or manages the Ladies Discount option.,
,clicked_offer_discount_student_discount,User selects or manages the Student Discount option.,
,,,
,,,
,,,
,,,
conductor settlement,clicked_cash_settlement_bus_card,User selects a bus card on the Cash Settlement screen.,
,viewed_cash_settlement_bus_tickets_detail_page,User views ticket details for a selected bus in Cash Settlement.,
,viewed_cash_settlement_screen,User opens the Cash Settlement main screen.,
,clicked_cash_settlement_non_settled_btn,User clicks the button to view non-settled trips or tickets.,
,clicked_cash_settlement_settle_btn,User clicks the button to settle cash for selected trips.,
,clicked_cash_settlement_settled_btn,User clicks the button to view already settled trips or tickets.,
,clicked_cash_settlement_tickets_detail_back_btn,User clicks the back button from the ticket details page.,
,clicked_cash_settlement_trip_setlle_btn,User clicks the button to settle cash for selected trips.,
,,,
,,,
Reports,clicked_reports_delete_trip_confirmation_btn,User confirms deletion of a trip from the Reports section.,
,,,
,,,
,,,
camera & video screens,camera_embedded_player_video_playing,Custom Video player component ,
,camera_embedded_player_video_paused,,
,camera_embedded_player_sound_muted,,
,camera_embedded_player_sound_unmuted,,
,camera_fullscreen_player_video_playing,,
,camera_fullscreen_player_video_paused,,
,camera_fullscreen_player_sound_muted,,
,camera_fullscreen_player_sound_unmuted,,
,,,
,,,
Cautio and Novus camera screen ,viewed_camera_list_page,User opens the camera list page.,
,,,
Bus Listing ,date_change_on_bus_list,User changes the date while viewing the bus list.,
,,,
,,,
Profile Screen ,viewed_my_profile_page,User opens the My Profile page.,
,,,
Online Payment Screen ,viewed_online_payment_history_page,User opens the Online Payment History page.,
,viewed_pending_payment_page,User opens the Pending Payment page.,
,clicked_online_payment_history_page_date_selection,User selects a date or date range to filter online payment history.,
,,,
,,,
,,,
,,,
,,,
,Total Count : 109 (NO DUPLICATES),,
